['0', 'created', 'mrappmaster', 'for', 'application', 'appattempt_1445144423722_0020_000001', ['created', 'mrappmaster', 'for', 'application', 'appattempt_1445144423722_0020_000001'], 'E0']
['132', 'attempt_1445144423722_0020_m_000000_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['151', 'attempt_1445144423722_0020_m_000001_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['170', 'attempt_1445144423722_0020_m_000002_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['305', 'attempt_1445144423722_0020_m_000003_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['530', 'attempt_1445144423722_0020_m_000004_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['536', 'attempt_1445144423722_0020_m_000005_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['555', 'attempt_1445144423722_0020_m_000006_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['605', 'attempt_1445144423722_0020_m_000007_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['635', 'attempt_1445144423722_0020_m_000008_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['652', 'attempt_1445144423722_0020_m_000009_0', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running', [' <*>', 'taskattempt', 'transitioned', 'from', 'assigned', 'to', 'running'], 'E59']
['134', 'task_1445144423722_0020_m_000000', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['153', 'task_1445144423722_0020_m_000001', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['172', 'task_1445144423722_0020_m_000002', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['307', 'task_1445144423722_0020_m_000003', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['532', 'task_1445144423722_0020_m_000004', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['538', 'task_1445144423722_0020_m_000005', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['557', 'task_1445144423722_0020_m_000006', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['607', 'task_1445144423722_0020_m_000007', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['637', 'task_1445144423722_0020_m_000008', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['654', 'task_1445144423722_0020_m_000009', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running', [' <*>', 'task', 'transitioned', 'from', 'scheduled', 'to', 'running'], 'E60']
['178', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000002', 'given', 'task:', 'attempt_1445144423722_0020_m_000000_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['187', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000003', 'given', 'task:', 'attempt_1445144423722_0020_m_000001_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['204', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000004', 'given', 'task:', 'attempt_1445144423722_0020_m_000002_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['318', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000005', 'given', 'task:', 'attempt_1445144423722_0020_m_000003_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['562', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000007', 'given', 'task:', 'attempt_1445144423722_0020_m_000005_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['563', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000006', 'given', 'task:', 'attempt_1445144423722_0020_m_000004_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['569', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000008', 'given', 'task:', 'attempt_1445144423722_0020_m_000006_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['618', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000009', 'given', 'task:', 'attempt_1445144423722_0020_m_000007_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['674', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000010', 'given', 'task:', 'attempt_1445144423722_0020_m_000008_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['680', 'jvm', 'with', 'id:', 'jvm_1445144423722_0020_m_000011', 'given', 'task:', 'attempt_1445144423722_0020_m_000009_0', ['jvm', 'with', 'id:', ' <*>', 'given', 'task:', ' <*>'], 'E61']
['211', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.023958297', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['220', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.065791264', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['223', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.05713628', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['230', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10004553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['231', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.079464614', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['232', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.06741504', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['239', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['242', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.10501281', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['243', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.103304505', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['248', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['251', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['252', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['259', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['260', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['263', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['268', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['269', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['272', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['277', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['280', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['281', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['288', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['291', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['292', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['311', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['314', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['315', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['325', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['326', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.1066108', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['327', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['334', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['337', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.10875365', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['338', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.10660437', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['339', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.106493875', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['344', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.10635664', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['347', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.14981231', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['348', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.13841225', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['349', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.106493875', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['354', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.1430594', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['357', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19084874', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['358', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.106493875', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['359', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.17293417', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['366', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.1795899', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['367', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.17982168', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['368', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['369', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['376', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.19209063', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['377', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['378', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['381', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['386', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.19209063', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['387', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['390', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['391', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['396', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.20639901', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['399', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['400', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['401', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['404', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.27765483', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['409', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['410', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['413', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['414', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.27765483', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['419', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['422', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['423', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.27765483', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['424', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['429', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['430', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['433', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.358454', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['434', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['439', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.36323506', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['440', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['443', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.19211523', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['444', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['449', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.36323506', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['450', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['453', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.20757815', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['454', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.19212553', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['459', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.36323506', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['460', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19158794', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['463', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.24035259', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['464', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.22765201', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['467', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.4486067', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['472', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.19716828', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['473', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.26542902', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['474', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.26314905', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['477', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.4486067', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['482', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.23859076', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['483', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.27776006', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['486', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.27772525', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['487', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.4486067', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['492', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.27776006', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['495', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.2754006', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['496', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.27772525', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['497', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.5091932', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['504', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.27776006', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['505', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.27696857', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['506', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.5343203', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['507', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.27772525', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['534', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.5343203', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['539', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.27776006', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['540', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.27696857', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['549', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.27772525', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['572', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.5343203', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['573', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000001_0', 'is', ':', '0.27776006', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['576', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000002_0', 'is', ':', '0.27772525', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['577', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000000_0', 'is', ':', '0.27696857', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
['582', 'progress', 'of', 'taskattempt', 'attempt_1445144423722_0020_m_000003_0', 'is', ':', '0.5806522', ['progress', 'of', 'taskattempt', ' <*>', 'is', ':', ' <*>'], 'E62']
